,GDP,CPI,Unemployment,FedRate,Employment,IndustrialProduction,GDP_Normalized,CPI_Normalized,Unemployment_Normalized,FedRate_Normalized,Employment_Normalized,IndustrialProduction_Normalized
2019-03-01,21111.6,254.277,3.8,2.41,150295.0,102.8361,0.26149966910081035,0.22020214173986266,0.035087719298245605,0.446969696969697,0.6901090504966313,0.9347306745749794
2019-04-01,21397.938,255.233,3.7,2.42,150593.0,102.2748,0.28606513763844865,0.23170496931777165,0.026315789473684233,0.44886363636363635,0.7004584288393415,0.9058313511064426
2019-05-01,21397.938,255.296,3.6,2.39,150621.0,102.4176,0.28606513763844865,0.23246300084225713,0.017543859649122823,0.44318181818181823,0.701430853650066,0.9131836108450972
2019-06-01,21397.938,255.213,3.6,2.38,150839.0,102.5425,0.28606513763844865,0.2314643243893634,0.017543859649122823,0.4412878787878788,0.7090018753907064,0.9196142637957841
2019-07-01,21717.171,255.802,3.7,2.4,150936.0,102.0057,0.3134527292877439,0.2385513175309829,0.026315789473684233,0.44507575757575757,0.7123706327707161,0.8919763574392717
2019-08-01,21717.171,256.036,3.6,2.13,151171.0,102.7814,0.3134527292877439,0.24136686319335818,0.017543859649122823,0.3939393939393939,0.7205320552892964,0.9319143677983379
2019-09-01,21717.171,256.43,3.5,2.04,151365.0,102.4601,0.3134527292877439,0.24610756828299848,0.008771929824561412,0.3768939393939394,0.7272695700493158,0.9153717833863638
2019-10-01,21933.217,257.155,3.6,1.83,151460.0,101.5878,0.3319877166651883,0.2548309469377929,0.017543859649122823,0.3371212121212121,0.7305688685142738,0.8704601855570312
2019-11-01,21933.217,257.879,3.6,1.55,151668.0,102.1494,0.3319877166651883,0.2635422933461679,0.017543859649122823,0.28409090909090906,0.7377925956796555,0.8993749549493886
2019-12-01,21933.217,258.63,3.6,1.55,151795.0,101.9421,0.3319877166651883,0.27257851040789305,0.017543859649122823,0.28409090909090906,0.7422032367854414,0.888701821589282
2020-01-01,21727.657,259.127,3.6,1.55,152031.0,101.3372,0.3143523426924813,0.27855853687883536,0.017543859649122823,0.28409090909090906,0.7503993887615475,0.8575576905254698
2020-02-01,21727.657,259.25,3.5,1.58,152292.0,101.6718,0.3143523426924813,0.2800385031885453,0.008771929824561412,0.28977272727272724,0.7594637771758005,0.8747850442268285
2020-03-01,21727.657,258.076,4.4,0.65,150895.0,97.606,0.3143523426924813,0.26591264589098806,0.08771929824561407,0.11363636363636363,0.7109467250121553,0.6654515873261041
2020-04-01,19935.444,256.032,14.8,0.05,130424.0,84.6812,0.16059506261003884,0.24131873420767633,1.0,0.0,0.0,0.0
2020-05-01,19935.444,255.802,13.2,0.05,133040.0,86.0108,0.16059506261003884,0.2385513175309829,0.8596491228070174,0.0,0.09085226088768493,0.06845633437335882
2020-06-01,19935.444,257.042,11.0,0.08,137671.0,91.6745,0.16059506261003884,0.253471303092287,0.6666666666666666,0.005681818181818181,0.2516843786900049,0.3600599301844238
2020-07-01,21684.551,258.352,10.2,0.09,139255.0,95.0037,0.3106541989365585,0.2692335459030198,0.5964912280701753,0.007575757575757574,0.3066958394109884,0.5314684954640465
2020-08-01,21684.551,259.316,8.4,0.1,140819.0,95.9294,0.3106541989365585,0.2808326314522918,0.43859649122807015,0.00946969696969697,0.3610127109814545,0.5791294677334649
2020-09-01,21684.551,259.997,7.8,0.09,141770.0,95.8914,0.3106541989365585,0.28902659126458924,0.3859649122807018,0.007575757575757574,0.39404042508856013,0.5771729840495092
2020-10-01,22068.767,260.319,6.9,0.09,142461.0,96.5256,0.34361680278116613,0.29290097461196024,0.30701754385964913,0.007575757575757574,0.4180384802389387,0.6098256670064766
2020-11-01,22068.767,260.911,6.7,0.09,142731.0,96.9529,0.34361680278116613,0.3000240644928408,0.2894736842105263,0.007575757575757574,0.4274154337709245,0.6318258111684323
2020-12-01,22068.767,262.045,6.7,0.09,142548.0,98.2039,0.34361680278116613,0.31366863193358213,0.2894736842105263,0.007575757575757574,0.42105994304368966,0.6962353135007671
2021-01-01,22656.793,262.639,6.4,0.09,142913.0,98.8135,0.39406464485002657,0.3208157863073037,0.26315789473684215,0.007575757575757574,0.4337361950406335,0.7276214307044371
2021-02-01,22656.793,263.573,6.2,0.08,143422.0,95.5072,0.39406464485002657,0.3320539044639631,0.2456140350877193,0.005681818181818181,0.45141348892130306,0.557391904276461
2021-03-01,22656.793,264.847,6.1,0.07,144246.0,98.1929,0.39406464485002657,0.34738298640356124,0.23684210526315785,0.0037878787878787884,0.4800305619226228,0.695668962960674
2021-04-01,23368.861,266.625,6.1,0.07,144611.0,98.3317,0.4551542803530302,0.3687763205390446,0.23684210526315785,0.0037878787878787884,0.49270681391956656,0.7028152770483865
2021-05-01,23368.861,268.404,5.8,0.06,145032.0,99.1867,0.4551542803530302,0.39018168692094807,0.21052631578947367,0.001893939393939393,0.5073279155379593,0.7468361599373923
2021-06-01,23368.861,270.71,5.9,0.08,145828.0,99.6483,0.4551542803530302,0.4179280471664057,0.21929824561403513,0.005681818181818181,0.5349725637285545,0.7706022880561819
2021-07-01,23921.991,271.965,5.4,0.1,146759.0,100.0668,0.5026083298058583,0.433028516424016,0.17543859649122812,0.00946969696969697,0.5673056886851428,0.7921493517860634
2021-08-01,23921.991,272.752,5.1,0.09,147246.0,100.0412,0.5026083298058583,0.4424978943568765,0.14912280701754382,0.007575757575757574,0.5842189345002431,0.7908312996200302
2021-09-01,23921.991,273.942,4.7,0.08,147712.0,98.9955,0.5026083298058583,0.45681626759716043,0.11403508771929827,0.005681818181818181,0.6004028617073002,0.7369919578223307
2021-10-01,24777.038,276.528,4.5,0.08,148569.0,100.3542,0.5759643991249918,0.48793165684033224,0.09649122807017545,0.005681818181818181,0.6301660068069737,0.8069465468062978
2021-11-01,24777.038,278.824,4.2,0.08,149206.0,101.2684,0.5759643991249918,0.515557694621586,0.07017543859649125,0.005681818181818181,0.652288671250955,0.8540154253292552
2021-12-01,24777.038,280.806,3.9,0.08,149781.0,101.1948,0.5759643991249918,0.5394056070268316,0.043859649122807015,0.005681818181818181,0.6722581093283323,0.8502260253519094
2022-01-01,25215.491,282.542,4.0,0.08,150006.0,101.2146,0.613580095877547,0.5602935868126575,0.052631578947368425,0.005681818181818181,0.6800722372716538,0.851245456324076
2022-02-01,25215.491,284.525,3.8,0.08,150875.0,101.8458,0.613580095877547,0.584153531464324,0.035087719298245605,0.005681818181818181,0.7102521358616378,0.8837436800428362
2022-03-01,25215.491,287.467,3.7,0.2,151346.0,102.6732,0.613580095877547,0.6195524004331606,0.026315789473684233,0.02840909090909091,0.7266097103563243,0.9263435379403369
2022-04-01,25805.791,288.582,3.7,0.33,151651.0,102.9024,0.6642230286275415,0.6329683551919142,0.026315789473684233,0.05303030303030303,0.7372021949017157,0.9381442237393548
2022-05-01,25805.791,291.299,3.6,0.77,151892.0,102.9659,0.6642230286275415,0.665659968716159,0.017543859649122823,0.13636363636363635,0.7455719941654512,0.9414136109480707
2022-06-01,25805.791,295.072,3.6,1.21,152353.0,102.8224,0.6642230286275415,0.7110576344603536,0.017543859649122823,0.21969696969696967,0.7615822740848788,0.9340253107205007
2022-07-01,26272.011,294.94,3.5,1.68,153049.0,103.0505,0.7042209078528545,0.7094693779328599,0.008771929824561412,0.30871212121212116,0.7857539765228867,0.9457693614655089
2022-08-01,26272.011,295.162,3.6,2.33,153286.0,103.1703,0.7042209078528545,0.71214053663819,0.017543859649122823,0.4318181818181818,0.7939848579565187,0.9519374337112432
2022-09-01,26272.011,296.421,3.5,2.56,153513.0,103.5326,0.7042209078528545,0.7272891348814822,0.008771929824561412,0.4753787878787879,0.801868444814892,0.9705909610453799
2022-10-01,26734.277,297.979,3.6,3.08,153913.0,103.4442,0.7438795660785176,0.7460353748044757,0.017543859649122823,0.5738636363636364,0.8157602278252414,0.9660395621595455
2022-11-01,26734.277,298.708,3.6,3.78,154210.0,103.1058,0.7438795660785176,0.7548068824449526,0.017543859649122823,0.7064393939393939,0.8260748767104258,0.9486165600897921
2022-12-01,26734.277,298.808,3.5,4.1,154336.0,101.8266,0.7438795660785176,0.7560101070869929,0.008771929824561412,0.7670454545454545,0.8304507883586858,0.8827551409183113
2023-01-01,27164.359,300.456,3.5,4.33,154780.0,102.7476,0.7807770992023245,0.7758392491878234,0.008771929824561412,0.8106060606060607,0.8458706675001737,0.9301741270478721
2023-02-01,27164.359,301.476,3.6,4.57,155086.0,102.8003,0.7807770992023245,0.788112140536638,0.017543859649122823,0.8560606060606061,0.8564978815030909,0.9328874609990416
2023-03-01,27164.359,301.643,3.5,4.65,155171.0,102.8143,0.7807770992023245,0.7901215256888456,0.008771929824561412,0.8712121212121213,0.8594498853927902,0.9336082707773417
2023-04-01,27453.815,302.858,3.4,4.83,155387.0,103.2241,0.8056100667477799,0.8047407050896401,0.0,0.9053030303030303,0.8669514482183789,0.9547074027164232
2023-05-01,27453.815,303.316,3.6,5.06,155614.0,102.9809,0.8056100667477799,0.810251473950186,0.017543859649122823,0.9488636363636362,0.8748350350767521,0.9421859071391059
2023-06-01,27453.815,304.099,3.6,5.08,155871.0,102.3809,0.8056100667477799,0.8196727228973647,0.017543859649122823,0.9526515151515151,0.8837605056609016,0.911294059497698
2023-07-01,27967.697,304.615,3.5,5.12,156019.0,103.0722,0.8496969574261345,0.8258813620502947,0.008771929824561412,0.9602272727272727,0.8889004653747309,0.9468866166218729
