"","P_MA","P_Risk","f_technical"
"2013-06-01",0.720321518293662,0.273532688794337,0.496927103544
"2013-07-01",0.829110347280063,0.584464179024816,0.70678726315244
"2013-08-01",0.715186995324335,0.667952745845854,0.691569870585095
"2013-09-01",0.578203595094519,0.248361552721294,0.413282573907906
"2013-10-01",0.390138523792121,0.477708465456424,0.433923494624272
"2013-11-01",0.642712037230067,0.419014856892664,0.530863447061365
"2013-12-01",0.951554344688691,0.518010868960317,0.734782606824504
"2014-01-01",0.967496197617035,0.488755526825342,0.728125862221188
"2014-02-01",0.974210712091033,0.243749030762285,0.608979871426659
"2014-03-01",0.925498447772989,0.191285128475393,0.558391788124191
"2014-04-01",0.981498250393912,0.2482295344512,0.614863892422556
"2014-05-01",0.987246777290638,0.319906047120028,0.653576412205333
"2014-06-01",0.988419999655393,0.280863535901076,0.634641767778235
"2014-07-01",0.969348916216852,0.489895686761408,0.72962230148913
"2014-08-01",0.930796311648549,0.207350784181849,0.569073547915199
"2014-09-01",0.688113565491394,0.556550948594537,0.622332257042965
"2014-10-01",0.489556004016744,0.479174235185249,0.484365119600997
"2014-11-01",0.145912135630572,0.370422324370867,0.25816723000072
"2014-12-01",0.161582896903859,0.320807053472357,0.241194975188108
"2015-01-01",0.0333731897163352,0.245346533380568,0.139359861548452
"2015-02-01",0.0328116451498236,0.204372633913299,0.118592139531561
"2015-03-01",0.0133393947900333,0.240027774210626,0.126683584500329
"2015-04-01",0.0287877951202434,0.379866312133995,0.204327053627119
"2015-05-01",0.0316253185871468,0.300544562103084,0.166084940345115
"2015-06-01",0.0534936984184837,0.251572268617785,0.152532983518135
"2015-07-01",0.0272183351163782,0.532709012790611,0.279963673953495
"2015-08-01",0.0117614741340757,0.369023764313187,0.190392619223631
"2015-09-01",0.00503865323221367,0.15051484991359,0.0777767515729017
"2015-10-01",0.0228861787861588,0.57682726418132,0.299856721483739
"2015-11-01",0.134062515772342,0.179186345122131,0.156624430447237
"2015-12-01",0.426523980793732,0.254532914539662,0.340528447666697
"2016-01-01",0.299388300518167,0.158354970319685,0.228871635418926
"2016-02-01",0.325931776115194,0.110869070404061,0.218400423259628
"2016-03-01",0.646110088375264,0.184577926668245,0.415344007521755
"2016-04-01",0.947091932267633,0.406106512184229,0.676599222225931
"2016-05-01",0.990493865083263,0.258993473841432,0.624743669462347
"2016-06-01",0.998221800359492,0.45243601691089,0.725328908635191
"2016-07-01",0.997314636801214,0.60057569115332,0.798945163977267
"2016-08-01",0.992194524658004,0.317547754944723,0.654871139801364
"2016-09-01",0.936026361729678,0.243634009992727,0.589830185861203
"2016-10-01",0.79970407038823,0.358579824819271,0.579141947603751
"2016-11-01",0.752255556130434,0.407117293486824,0.579686424808629
"2016-12-01",0.752413586680884,0.40439311967146,0.578403353176172
"2017-01-01",0.713375780787684,0.554142179680979,0.633758980234332
"2017-02-01",0.376468347383751,0.308164078933777,0.342316213158764
"2017-03-01",0.0915787509024606,0.337741124851097,0.214659937876779
"2017-04-01",0.0815856162443602,0.263236145317749,0.172410880781054
"2017-05-01",0.106786129324602,0.294686069632256,0.200736099478429
"2017-06-01",0.157422143911617,0.500658094049023,0.32904011898032
"2017-07-01",0.176843772482048,0.318779206825283,0.247811489653666
"2017-08-01",0.132041017535895,0.683359703743693,0.407700360639794
