"","P_MA","P_Risk","f_technical"
"2017-08-01",0.746386178823591,0.543557700205096,0.644971939514344
"2017-09-01",0.756681564853388,0.518394756140548,0.637538160496968
"2017-10-01",0.772173096748655,0.537088108080138,0.654630602414396
"2017-11-01",0.778178393207162,0.757929208579919,0.76805380089354
"2017-12-01",0.768148152666171,0.723179378712545,0.745663765689358
"2018-01-01",0.775223849440968,0.807726454162635,0.791475151801801
"2018-02-01",0.784004544740529,0.616580987817302,0.700292766278915
"2018-03-01",0.794237347842077,0.612915049112441,0.703576198477259
"2018-04-01",0.717111744379668,0.52356596953696,0.620338856958314
"2018-05-01",0.688290940908411,0.602109186708667,0.645200063808539
"2018-06-01",0.656061477010512,0.643393975628455,0.649727726319483
"2018-07-01",0.654938365133453,0.571152619085799,0.613045492109626
"2018-08-01",0.656274180592674,0.752061984800532,0.704168082696603
